Recipient,Total,Party,Chamber
"Lemieux, George S",1000,Republican,Senate
"Lee, Mike",12800,Republican,Senate
"Zoller, Martha",1500,Republican,House
"Denham, Jeff",15000,Republican,House
"Sessions, Jeff",17000,Republican,Senate
"Horsford, Steven",12000,Democrat,House
"McIntosh, David M",1000,Republican,House
"Gallego, Pete",18500,Democrat,House
"Pawlenty, Tim",5000,Republican,
"Enzi, Mike",21500,Republican,Senate
"Cramer, Kevin",35500,Republican,House
"Berkley, Shelley",1000,Democrat,House
"Cooper, Jim",5000,Democrat,House
"Nolan, Rick",5500,Democrat,House
"Baca, Joe",1000,Democrat,House
"Young, Don",1000,Republican,House
"Ellison, Keith",5000,Democrat,House
"Perdue, David",23000,Republican,Senate
"Grothman, Glenn S",10000,Republican,House
"Ernst, Joni",13500,Republican,Senate
"Young, David",14500,Republican,House
"Murphy, Pat",1000,Democrat,House
"Mullin, Markwayne",22500,Republican,House
"Leibham, Joe",1000,Republican,House
"Smith, Jason",30000,Republican,House
"Foster, Bill",4000,Democrat,House
"Murphy, Patrick",11000,Democrat,House
"Mooney, Alex",16000,Republican,House
"Lane, Charlotte",6000,Republican,House
"Land, Terri Lynn",12500,Republican,Senate
"Casey, Nick",17000,Democrat,House
"Hunter, Duncan D",2500,Republican,House
"Westerman, Bruce",9500,Republican,House
"Holloway, Clyde C",5500,Republican,House
"Lipinski, Daniel",5000,Democrat,House
"Poliquin, Bruce",10500,Republican,House
"Mills, Stewart",1000,Republican,House
"Valadao, David",13000,Republican,House
"Riser, Neil",1000,Republican,House
"Witt, James Lee",2500,Democrat,House
"McSally, Martha",5000,Republican,House
"Joyce, David P",22000,Republican,House
"Wilcox, Mary Rose",2000,Democrat,House
"Morris, Jay",1500,Republican,House
"Dingell, Debbie",30500,Democrat,House
"Bishop, Mike",23000,Republican,House
"Moolenaar, John",18000,Republican,House
"Trott, Dave",13500,Republican,House
"Lawrence, Brenda",16500,Democrat,House
"Hobbs, Rudy",2500,Democrat,House
"Ruppersberger, Dutch",5500,Democrat,House
"Tillis, Thom",26000,Republican,Senate
"Moore, Gwen",2500,Democrat,House
"Norcross, Don",9500,Democrat,House
"Booker, Cory",27500,Democrat,Senate
"Welch, Peter",14000,Democrat,House
"Sheffield, Horace",500,Democrat,House
"Jolly, David",16500,Republican,House
"Sinema, Kyrsten",14000,Democrat,House
"Schneider, Brad",3000,Democrat,House
"DeSantis, Ron",5500,Republican,House
"Berger, Philip",3000,Republican,House
"Rothfus, Keith J",26500,Republican,House
"Peters, Scott",3000,Democrat,House
"Hutto, Brad",3000,Democrat,Senate
"Adams, Alma",5000,Democrat,House
"Yoho, Ted",2000,Republican,House
"Rounds, Mike",28500,Republican,Senate
"Heck, Joe",17000,Republican,House
"Chaffetz, Jason",10500,Republican,House
"DelBene, Suzan",1000,Democrat,House
"Byrne, Bradley",31000,Republican,House
"Smith, Adrian",4000,Republican,House
"Kennedy, Joe III",5000,Democrat,House
"Rouzer, David",9500,Republican,House
"Walker, Mark",5000,Republican,House
"Benacquisto, Lizbeth",1000,Republican,House
"Eshoo, Anna",1000,Democrat,House
"Hurd, Will",55000,Republican,House
"Hall, Jerry",4000,No View,
"O'Rourke, Beto",2000,Democrat,House
"Centilli, Doug",2000,Republican,House
"Ratcliffe, John",14500,Republican,House
"Graves, Garret",28000,Republican,House
"Babin, Brian",8500,Republican,House
"Abraham, Ralph",9500,Republican,House
"Rodgers, Cathy McMorris",20500,Republican,House
"Hanna, Richard",2000,Republican,House
"Crawford, Dennis",2000,Democrat,House
"Schatz, Brian",1000,Democrat,Senate
"Reed, Jack",1000,Democrat,Senate
"Burns, Timothy G",500,Republican,House
