Recipient,Total,Party,Chamber
"Fischer, Deb",8000,Republican,Senate
"Kennedy, Joe III",15000,Democrat,House
"Quigley, Mike",2500,Democrat,House
"Kilmer, Derek",17500,Democrat,House
"Jeffries, Hakeem",2500,Democrat,House
"Wenstrup, Brad",17000,Republican,House
"Capuano, Michael E",6000,Democrat,House
"Cummings, Elijah E",4500,Democrat,House
"Hinojosa, Ruben",1000,Democrat,House
"Berg, Rick",1000,Republican,House
"Collins, Doug",5000,Republican,House
"Rice, Tom",14000,Republican,House
"Messer, Luke",6000,Republican,House
"Williams, Roger",4000,Republican,House
"Castro, Joaquin",8000,Democrat,House
"Brooks, Susan",14500,Republican,House
"Veasey, Marc",11500,Democrat,House
"Davis, Rodney",15500,Republican,House
"Nadler, Jerrold",5500,Democrat,House
"Young, Don",4000,Republican,House
"Boozman, John",4000,Republican,Senate
"Broun, Paul",1000,Republican,House
"Cassidy, Bill",1000,Republican,House
"Farenthold, Blake",4000,Republican,House
"Pearce, Steve",7000,Republican,House
"Hochul, Kathleen",1000,Democrat,House
"Stewart, Chris",6000,Republican,House
"Pittenger, Robert",4000,Republican,House
"Garcia, Joe",4000,Democrat,House
"Gardner, Cory",2500,Republican,Senate
"Walorski, Jackie",22000,Republican,House
"McKinley, David",5000,Republican,House
"Velazquez, Nydia M",2000,Democrat,House
"Walsh, Joe",6000,Republican,House
"Shaheen, Jeanne",15500,Democrat,Senate
"Gosar, Paul",1000,Republican,House
"Wagner, Ann L",19500,Republican,House
"Payne, Donald M Jr",1000,Democrat,House
"Johanns, Mike",1000,Republican,Senate
"Womack, Steve",13000,Republican,House
"Vargas, Juan",1000,Democrat,House
"Buerkle, Ann Marie",1000,Republican,House
"Cotton, Tom",11000,Republican,House
"LaMalfa, Doug",1000,Republican,House
"Perry, Scott",1000,Republican,House
"Enyart, William",5500,Democrat,House
"Kaine, Tim",2000,Democrat,Senate
"Allen, George",1000,Republican,Senate
"Pastor, Ed",3500,Democrat,House
"Cornyn, John",20500,Republican,Senate
"Holden, Tim",1000,Democrat,House
"Doggett, Lloyd",1000,Democrat,House
"Booker, Cory",17000,Democrat,Senate
"Cochran, Thad",17000,Republican,Senate
"Alexander, Lamar",15000,Republican,Senate
"Reed, Jack",15500,Democrat,Senate
"Long, Billy",20000,Republican,House
"Maloney, Sean Patrick",12000,Democrat,House
"Lankford, James",12000,Republican,Senate
"Bustos, Cheri",18000,Democrat,House
"Kuster, Ann",14000,Democrat,House
"Hudson, Richard",13500,Republican,House
"Inhofe, James M",9000,Republican,Senate
"Tillis, Thom",7500,Republican,Senate
"Peters, Scott",18000,Democrat,House
"Tisei, Richard",2000,Republican,House
"Barr, Andy",10500,Republican,House
"Joyce, David P",17500,Republican,House
"Southerland, Steve",6000,Republican,House
"Perdue, David",6000,Republican,Senate
"Murphy, Patrick",10000,Democrat,House
"Bera, Ami",27000,Democrat,House
"Weber, Randy",11000,Republican,House
"Schneider, Brad",7000,Democrat,House
"Bucshon, Larry",10500,Republican,House
"McCollum, Betty",9500,Democrat,House
"Sasse, Ben",10000,Republican,Senate
"Meadows, Mark",6000,Republican,House
"Rounds, Mike",5000,Republican,Senate
"Clark, Katherine",7000,Democrat,House
"Udall, Tom",6000,Democrat,Senate
"Swalwell, Eric",7000,Democrat,House
"Mullin, Markwayne",12000,Republican,House
"Ernst, Joni",5000,Republican,Senate
"Culberson, John",9500,Republican,House
"Horsford, Steven",4000,Democrat,House
"Kildee, Dan",8500,Democrat,House
"Rothfus, Keith J",4500,Republican,House
"Coffman, Mike",5000,Republican,House
"Byrne, Bradley",9000,Republican,House
"Gallego, Pete",4000,Democrat,House
"Delaney, John K",6500,Democrat,House
"Sinema, Kyrsten",12000,Democrat,House
"Bridenstine, James",6000,Republican,House
"Dingell, Debbie",9000,Democrat,House
"Kelly, Robin",4500,Democrat,House
"Collins, Chris",13500,Republican,House
"Sessions, Jeff",3000,Republican,Senate
"Langevin, Jim",7000,Democrat,House
"Poe, Ted",12000,Republican,House
"Bishop, Rob",3000,Republican,House
"DelBene, Suzan",10500,Democrat,House
"Daines, Steven",3000,Republican,House
"Cook, Paul",9000,Republican,House
"Holding, George",19000,Republican,House
"Mooney, Alex",2500,Republican,House
"Young, David",4500,Republican,House
"Jolly, David",8000,Republican,House
"Grothman, Glenn S",7500,Republican,House
"Stefanik, Elise",13000,Republican,House
"Waters, Maxine",5500,Democrat,House
"Costello, Ryan",15500,Republican,House
"Carter, Buddy",8000,Republican,House
"Cramer, Kevin",13000,Republican,House
"Miller, Candice S",2000,Republican,House
"Schatz, Brian",4500,Democrat,Senate
"Hurd, Will",13000,Republican,House
"Bost, Mike",8000,Republican,House
"Crawford, Rick",4500,Republican,House
"Fleischmann, Chuck",2000,Republican,House
"Smith, Jason",9000,Republican,House
"Zinke, Ryan K",12000,Republican,House
"Beatty, Joyce",2500,Democrat,House
"Comstock, Barbara",11000,Republican,House
"Allen, Richard W",3000,Republican,House
"Hall, Ralph",1000,Republican,House
"Castor, Kathy",3000,Democrat,House
"Loudermilk, Barry",1000,Republican,House
"Babin, Brian",2000,Republican,House
"Flake, Jeff",2000,Republican,Senate
"Bonamici, Suzanne",3000,Democrat,House
"Ruiz, Raul",6000,Democrat,House
"Radel, Trey",1000,Republican,House
"Walters, Mimi",6000,Republican,House
"Walker, Mark",1000,Republican,House
"MacArthur, Thomas",7500,Republican,House
"Love, Mia",3000,Republican,House
"Rice, Kathleen",8500,Democrat,House
"Bishop, Mike",1000,Republican,House
"Rouzer, David",1000,Republican,House
"Beyer, Don",12000,Democrat,House
"Curbelo, Carlos",8000,Republican,House
"Nunn, Michelle",2500,Democrat,Senate
"Grimes, Alison",500,Democrat,Senate
"Smith-Kearney, Vanessa Mcgee",200,Democrat,House
"Norton, Eleanor Holmes",2400,Democrat,
"Boyle, Brendan",4000,Democrat,House
"Napolitano, Grace",1500,Democrat,House
"Poliquin, Bruce",13000,Republican,House
"Faso, John",5000,Republican,House
"Knight, Steve",8500,Republican,House
"Moulton, Seth",8000,Democrat,House
"McSally, Martha",8000,Republican,House
"Newhouse, Dan",8000,Republican,House
"Hardy, Cresent",7000,Republican,House
"Moolenaar, John",7000,Republican,House
"Jenkins, Evan",6500,Republican,House
"Ashford, Brad",6000,Democrat,House
"Zeldin, Lee",6000,Republican,House
"Katko, John",6000,Republican,House
"Aguilar, Pete",5000,Democrat,House
"Derickson, Tim",5000,Republican,House
"Graves, Garret",6000,Republican,House
"Angelle, Scott",4500,Republican,House
"Norcross, Don",4000,Democrat,House
"LaHood, Darin",4000,Republican,House
"Kelly, Trent",4000,Republican,House
