Recipient,Total,Party,Chamber
"Thompson, Tommy G",45000,Republican,Senate
"Collins, Chris",16000,Republican,House
"Cramer, Kevin",26000,Republican,House
"Summers, Charlie",17500,Republican,Senate
"Parker, Vernon",15000,Republican,House
"Gill, Ricky",22500,Republican,House
"Fischer, Deb",26000,Republican,Senate
"Rouzer, David",13500,Republican,House
"Lingle, Linda",53500,Republican,Senate
"Young, C W Bill",5000,Republican,House
"Bartlett, Roscoe G",12000,Republican,House
"Platts, Todd",5000,Republican,House
"Carper, Tom",5000,Democrat,Senate
"Ryan, Tim",5000,Democrat,House
"Anderson, Lee Ivey",5000,Republican,House
"McSally, Martha",12500,Republican,House
"Menendez, Robert",7500,Democrat,Senate
"Paton, Jonathan",17500,Republican,House
"Tavaglione, John F",22500,Republican,House
"Valadao, David",33500,Republican,House
"Bentivolio, Kerry",12500,Republican,House
"Heitkamp, Heidi",28500,Democrat,Senate
"Plummer, Jason",27000,Republican,House
"Mourdock, Richard E",55000,Republican,Senate
"Mullin, Markwayne",34500,Republican,House
"Weber, Randy",44500,Republican,House
"Driscoll, Bill",10000,Republican,House
"Walsh, Joe",26000,Republican,House
"Perry, Rick",15000,Republican,
"Meadows, Mark",10000,Republican,House
"Roraback, Andrew",10000,Republican,House
"Casey, Bob",9500,Democrat,Senate
"Tarkanian, Danny",15000,Republican,House
"Little, Anna",5000,Republican,House
"Maldonado, Abel",27500,Republican,House
"Baumgartner, Michael",5000,Republican,Senate
"Brooks, Maggie",10000,Republican,House
"Davis, Rodney",21000,Republican,House
"Strickland, Tony",56500,Republican,House
"Castro, Joaquin",31500,Democrat,House
"Vann, Kim Dolbow",27500,Republican,House
"Bridenstine, James",40000,Republican,House
"Hudson, Richard",39500,Republican,House
"Tisei, Richard",10000,Republican,House
"Doyle, Mike",5500,Democrat,House
"Altmire, Jason",10839,Democrat,House
"Doggett, Lloyd",3000,Democrat,House
"Gallego, Pete",2500,Democrat,House
"Sessions, Jeff",2500,Republican,Senate
"Koster, John",12500,Republican,House
"Love, Mia",2500,Republican,House
"Lewis, John",2500,Democrat,House
"Daines, Steven",34000,Republican,House
"Miller, Candice S",5000,Republican,House
"McDermott, Jim",2500,Democrat,House
"Veasey, Marc",6000,Democrat,House
"Cleaver, Emanuel",1000,Democrat,House
"Feinstein, Dianne",20000,Democrat,Senate
"Wilson, Heather A",74000,Republican,Senate
"Amodei, Mark",24000,Republican,House
"Delong, Gary",15500,Republican,House
"Lugar, Richard G",23000,Republican,Senate
"Stewart, Chris",16000,Republican,House
"Stockman, Steve",16500,Republican,House
"Arnold-Jones, Janice",4000,Republican,House
"Vargas, Juan",7000,Democrat,House
"LaMalfa, Doug",14500,Republican,House
"Cotton, Tom",28000,Republican,House
"Labrador, Raul",14000,Republican,House
"Snowe, Olympia",14000,Republican,Senate
"Bruning, Jon",7750,Republican,Senate
"Hayden, Jerry",2500,Republican,House
"Archer, John H Jr",12500,Republican,House
"DeSantis, Ron",16000,Republican,House
"Maloney, Carolyn B",1000,Democrat,House
"Perry, Scott",12000,Republican,House
"Hoekstra, Peter",15000,Republican,Senate
"Messer, Luke",20000,Republican,House
"Cornyn, John",19500,Republican,Senate
"Cardenas, Tony",8500,Democrat,House
"Doherty, Brendan P",10000,Republican,House
"Kyrillos, Joe",5000,Republican,Senate
