Recipient,Party,Chamber,Coal Total,Hydro Total,Nuclear Total,Oil Total,Solar Total,Wind Total,Total,PAC Total,FEC Candidate ID,ID,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"Walden, Greg",Republican,House,0,35500,42000,46000,0,7500,131000,1651213.11,H6OR02116,W000791,0.0,0.021499344805953,0.025435844559155662,0.027858305945741915,0.0,0.0045421150998492255
"Kind, Ron",Democrat,House,0,23000,21000,1000,0,10000,55000,1291983.68,H6WI03099,K000188,0.0,0.01780208245354926,0.01625407528367541,0.0007740035849369243,0.0,0.0077400358493692435
"Amash, Justin",Republican,House,0,4000,4000,17000,0,0,25000,184550.0,H0MI03126,A000367,0.0,0.02167434299647792,0.02167434299647792,0.09211595773503116,0.0,0.0
"Crowley, Joseph",Democrat,House,0,18500,19000,2500,0,10000,50000,1626418.4,H8NY07046,C001038,0.0,0.011374686857945042,0.011682110827078691,0.0015371198456682487,0.0,0.006148479382672995
"Kildee, Dan",Democrat,House,0,3500,3500,0,0,0,7000,356938.95,H2MI05119,K000380,0.0,0.009805598408355267,0.009805598408355267,0.0,0.0,0.0
"Boustany, Charles Jr",Republican,House,0,5000,6000,77250,0,11000,99250,99250.0,H4LA07029,B001255,0.0,0.05037783375314862,0.060453400503778336,0.7783375314861462,0.0,0.11083123425692695
"Thune, John",Republican,Senate,0,9500,9500,2000,0,0,21000,21000.0,S2SD00068,T000250,0.0,0.4523809523809524,0.4523809523809524,0.09523809523809523,0.0,0.0
"Delaney, John K",Democrat,House,0,3000,3000,0,0,0,6000,381289.8,H2MD06195,D000620,0.0,0.007868031088164435,0.007868031088164435,0.0,0.0,0.0
"Murphy, Christopher S",Democrat,House,0,14000,6000,0,1500,15500,37000,1015450.0,H6CT05124,M001169,0.0,0.013786990989216603,0.0059087104239499725,0.0,0.0014771776059874931,0.015264168595204096
"Burgess, Michael",Republican,House,0,5000,19000,43000,0,6000,73000,865250.0,H2TX26093,B001248,0.0,0.005778676683039584,0.02195897139555042,0.04969661947414042,0.0,0.006934412019647501
"Ryan, Tim",Democrat,House,0,17000,20500,5000,0,6000,48500,605669.15,H2OH17109,R000577,0.0,0.02806812927486896,0.0338468617726361,0.00825533213966734,0.0,0.009906398567600809
"Edwards, Donna",Democrat,House,0,2000,2000,0,0,3000,7000,446507.4,H6MD04183,E000290,0.0,0.0044792090791776346,0.0044792090791776346,0.0,0.0,0.006718813618766453
