,Unnamed: 0,bill_id,member_id,vote_position,bill_cycle,bill_prop_party,member_party,percent_oil,percent_solar,percent_wind,percent_hydro,percent_nuclear,percent_coal,metric_oil,metric_solar,metric_wind,metric_hydro,metric_nuclear,metric_coal
109,109,hr1900-113,V000129,No,2014,R,R,0.034903509435817964,0.0,0.0,0.001876532765366557,0.002412684984042716,0.0,1,0,0,0,0,0
110,110,hr1900-113,W000799,Yes,2014,R,D,0.0,0.0,0.0,0.002725778740335053,0.004997261023947597,0.0,1,0,0,0,0,0
111,111,hr1900-113,Y000063,No,2014,R,R,0.028136655377083663,0.0,0.003470600663252611,0.0004958000947503728,0.009420201800257086,0.0004958000947503728,1,0,0,0,0,0
112,112,hr1900-113,A000055,No,2014,R,R,0.018283498367503002,0.0,0.005789774483042617,0.02133074809542016,0.02133074809542016,0.0,1,0,0,0,0,0
113,113,hr1900-113,A000367,No,2014,R,R,0.05787898331431595,0.0,0.0020671065469398554,0.019637512195928627,0.019637512195928627,0.0,1,0,0,0,0,0
114,114,hr1900-113,A000369,No,2014,R,R,0.025968942702664182,0.0009988054885640071,0.008989249397076059,0.0009988054885640071,0.0009988054885640071,0.0,1,0,0,0,0,0
115,115,hr1900-113,B001282,No,2014,R,R,0.02708609281398618,0.0,0.004077476337589318,0.004951221267072743,0.004951221267072743,0.029998575912264264,1,0,0,0,0,0
116,116,hr1900-113,B001270,Yes,2014,R,D,0.0031705813927598364,0.0,0.00832277615599457,0.0007926453481899591,0.0007926453481899591,0.0,1,0,0,0,0,0
117,117,hr1900-113,B001281,Yes,2014,R,D,0.002381952710349672,0.0,0.0014291716262098033,0.02572508927177646,0.04001680553387449,0.0,1,0,0,0,0,0
118,118,hr1900-113,B001287,Yes,2014,R,D,0.0,0.0,0.004851072463457648,0.0,0.0,0.0,1,0,0,0,0,0
119,119,hr1900-113,B001257,No,2014,R,R,0.018722895819784462,0.0,0.009560627652655895,0.011950784565819873,0.011552425080292542,0.000796718971054658,1,0,0,0,0,0
120,120,hr1900-113,B001250,No,2014,R,R,0.08698412698412697,0.0,0.0038095238095238095,0.0,0.0,0.01650793650793651,1,0,0,0,0,0
121,121,hr1900-113,B000490,Yes,2014,R,D,0.0032048256855049034,0.0,0.007411159397730089,0.012819302742019614,0.012819302742019614,0.00040060321068811287,1,0,0,0,0,0
122,122,hr1900-113,B000574,Yes,2014,R,D,0.0016724205808963067,0.0,0.006898734896197265,0.009929997199071821,0.009929997199071821,0.0,1,0,0,0,0,0
123,123,hr1900-113,B001278,Yes,2014,R,D,0.0,0.0,0.0007846833698239872,0.006669808643503892,0.006669808643503892,0.0,1,0,0,0,0,0
124,124,hr1900-113,B000755,No,2014,R,R,0.06540418488371079,0.0,0.0064093187859315705,0.006554985121975469,0.007865982146370564,0.0008739980162633959,1,0,0,0,0,0
125,125,hr1900-113,B001274,No,2014,R,R,0.01102331356051226,0.0,0.006709843036833549,0.020608803613131617,0.020608803613131617,0.0,1,0,0,0,0,0
126,126,hr1900-113,B001284,No,2014,R,R,0.028491241554919007,0.0,0.010024696102656688,0.006331387012204223,0.006331387012204223,0.0,1,0,0,0,0,0
127,127,hr1900-113,B001285,Yes,2014,R,D,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
128,128,hr1900-113,B001260,No,2014,R,R,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
