,Unnamed: 0,Unnamed: 0.1,name,fec_candidate_id,2010,2012,2014,2016,2018,2020,id,party
193,193,193,John Duncan,H8TN02069,396063.79,471748.88,340000.0,254231.1,2000.0,0.0,D000533,R
194,194,194,Keith Ellison,H6MN05183,338592.35,378450.0,350094.25,347350.0,154500.0,0.0,E000288,D
195,195,195,Elizabeth Esty,H2CT05131,0.0,394461.88,1009712.0,639953.89,500309.81,0.0,E000293,D
196,196,196,Blake Farenthold,H0TX27061,61481.2,462269.13,437214.29,506466.77,165500.0,0.0,F000460,R
197,197,197,John Faso,H6NY19169,0.0,0.0,0.0,496156.06,1327695.87,0.0,F000464,R
198,198,198,Trent Franks,H4AZ04024,205195.59,195578.94,206925.0,214100.0,83750.0,0.0,F000448,R
199,199,199,Rodney Frelinghuysen,H2NJ05014,466700.0,586926.49,629075.98,924020.34,616470.0,0.0,F000372,R
200,200,200,Thomas Garrett,H6VA05142,0.0,0.0,0.0,278449.09,299700.0,0.0,G000580,R
201,201,201,Jenniffer González-Colón,H6PR00082,0.0,0.0,0.0,49356.5,0.0,67550.0,G000582,R
202,202,202,Robert Goodlatte,H2VA06115,544168.94,968198.34,1271384.35,1006283.85,285150.0,0.0,G000289,R
203,203,203,Trey Gowdy,H0SC04257,197436.85,437253.57,432558.9,303000.0,105990.43,0.0,G000566,R
204,204,204,Gene Green,H2TX29030,818397.47,823950.0,811552.24,1282583.44,389250.0,0.0,G000410,D
205,205,205,Luis Gutiérrez,H2IL08039,269517.18,248138.61,204725.0,332817.9,17000.0,0.0,G000535,D
206,206,206,Colleen Hanabusa,H2HI02110,689673.77,486437.25,54500.0,304116.87,35200.0,0.0,H001050,D
207,207,207,Karen Handel,H8GA06286,0.0,0.0,0.0,0.0,1554176.21,428050.0,H001078,R
208,208,208,Gregg Harper,H8MS03067,218401.6,425600.0,535100.0,551080.0,204400.0,0.0,H001045,R
209,209,209,Jeb Hensarling,H2TX05121,689459.72,1473797.0,1524898.0,1256110.44,447250.0,0.0,H001036,R
210,210,210,Randy Hultgren,H0IL14080,364091.62,611247.75,791652.3,868382.71,1406800.92,0.0,H001059,R
211,211,211,Darrell Issa,H0CA48024,699510.41,863038.02,719488.64,870024.85,345400.0,0.0,I000056,R
212,212,212,Evan Jenkins,S8WV00127,0.0,0.0,0.0,0.0,381560.0,0.0,J000297,R
213,213,213,Lynn Jenkins,H8KS02090,686742.63,1044282.84,1649259.29,1371972.0,0.0,0.0,J000290,R
214,214,214,Sam Johnson,H2TX03118,608565.57,678110.0,545482.44,816076.23,0.0,0.0,J000174,R
215,215,215,Ruben Kihuen,H2NV00050,0.0,23000.0,0.0,613767.41,418937.01,0.0,K000390,D
216,216,216,Steve Knight,H4CA25123,0.0,0.0,18650.0,1032743.66,1299893.91,50695.0,K000387,R
217,217,217,Raúl Labrador,H0ID01253,149761.23,338233.7,215350.0,218850.0,35000.0,0.0,L000573,R
218,218,218,Leonard Lance,H6NJ12136,696927.71,698877.72,629622.53,694659.79,1187190.75,0.0,L000567,R
219,219,219,Sander Levin,H2MI17023,1394016.34,1276317.52,1094839.37,1038880.0,80250.0,0.0,L000263,D
220,220,220,Jason Lewis,H6MN02149,0.0,0.0,0.0,272712.5,1152827.49,0.0,L000587,R
221,221,221,Frank LoBiondo,H2NJ02037,643427.05,772315.0,1343243.25,1147307.12,274750.0,0.0,L000554,R
222,222,222,Mia Love,H2UT04023,0.0,399100.0,458801.6,1039796.59,1109115.33,0.0,L000584,R
223,223,223,Michelle Lujan Grisham,H8NM01257,0.0,513160.0,794534.41,814675.0,0.0,0.0,L000580,D
224,224,224,Tom MacArthur,H4NJ03130,0.0,0.0,270227.97,882444.25,1428162.24,0.0,M001193,R
225,225,225,Martha McSally,H2AZ08102,0.0,305689.26,523923.07,1436880.62,504260.96,0.0,M001197,R
226,226,226,Pat Meehan,H0PA07082,878645.39,1241184.23,1135122.66,1552902.01,874810.0,0.0,M001181,R
227,227,227,Luke Messer,H0IN02125,9000.0,324350.0,0.0,1113729.49,401000.0,0.0,M001189,R
228,228,228,Mick Mulvaney,H0SC05031,261910.0,411823.45,702258.85,684520.02,0.0,0.0,M001182,R
229,229,229,Tim Murphy,H2PA18143,1037775.17,1243752.62,1145423.65,986157.99,74143.2,0.0,M001151,R
230,230,230,Kristi Noem,H0SD00054,259777.9,973985.0,812651.31,1166887.0,0.0,0.0,N000184,R
231,231,231,Rick Nolan,H2MN08111,0.0,420654.36,952889.98,1149756.94,317328.48,0.0,N000127,D
232,232,232,Eleanor Norton,H0DC00058,218150.0,178500.0,282400.0,243000.0,316700.0,301300.0,N000147,D
233,233,233,Beto O'Rourke,S8TX00285,0.0,0.0,0.0,0.0,83441.3,0.0,O000170,D
234,234,234,Erik Paulsen,H8MN03077,841069.76,1200882.57,1386403.06,2439231.15,2887337.56,0.0,P000594,R
235,235,235,Steve Pearce,H2NM02126,465405.14,440056.43,501073.54,487212.1,0.0,0.0,P000588,R
